director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
"Matt Angel, Suzanne Coote",Kate Siegel,Jason O'Mara,Dulé Hill,Thriller Drama Horror,hypnotic,"Kate Siegel Jason O'Mara Dulé Hill Matt Angel, Suzanne Coote Thriller Drama Horror"
Scott Cooper,Keri Russell,Jesse Plemons,Jeremy T. Thomas,Drama Horror Mystery,antlers,Keri Russell Jesse Plemons Jeremy T. Thomas Scott Cooper Drama Horror Mystery
Matthias Schweighöfer,Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee,unknown,army of thieves,Matthias Schweighöfer Nathalie Emmanuel Ruby O. Fee Matthias Schweighöfer unknown
Amy Koppelman,Amanda Seyfried,Finn Wittrock,Jennifer Carpenter,unknown,a mouthful of air,Amanda Seyfried Finn Wittrock Jennifer Carpenter Amy Koppelman unknown
Joanna Hogg,Honor Swinton Byrne,Jaygann Ayeh,Richard Ayoade,unknown,the souvenir part ii,Honor Swinton Byrne Jaygann Ayeh Richard Ayoade Joanna Hogg unknown
William Eubank,Emily Bader,Roland Buck III,Dan Lippert,Horror Mystery Thriller,paranormal activity: next of kin,Emily Bader Roland Buck III Dan Lippert William Eubank Horror Mystery Thriller
"Philip Gelatt, Morgan Galen King",Richard E. Grant,Lucy Lawless,Patton Oswalt,unknown,the spine of night,"Richard E. Grant Lucy Lawless Patton Oswalt Philip Gelatt, Morgan Galen King unknown"
Justine Bateman,Olivia Munn,Luke Bracey,Justin Theroux,Thriller Crime Drama Action Comedy,violet,Olivia Munn Luke Bracey Justin Theroux Justine Bateman Thriller Crime Drama Action Comedy
Michael Mailer,Michael Shannon,Alexander Ludwig,Charles Melton,unknown,heart of champions,Michael Shannon Alexander Ludwig Charles Melton Michael Mailer unknown
Chloé Zhao,Gemma Chan,Richard Madden,Kumail Nanjiani,Science Fiction Action Adventure,eternals,Gemma Chan Richard Madden Kumail Nanjiani Chloé Zhao Science Fiction Action Adventure
Rawson Marshall Thurber,Dwayne Johnson,Ryan Reynolds,Gal Gadot,unknown,red notice,Dwayne Johnson Ryan Reynolds Gal Gadot Rawson Marshall Thurber unknown
Miguel Sapochnik,Tom Hanks,Caleb Landry Jones,unknown,Science Fiction Drama Adventure,finch,Tom Hanks Caleb Landry Jones unknown Miguel Sapochnik Science Fiction Drama Adventure
Pablo Larraín,Kristen Stewart,Timothy Spall,Jack Farthing,Drama,spencer,Kristen Stewart Timothy Spall Jack Farthing Pablo Larraín Drama
